2024-01-31 12:12:02,324 - conciliaciones.views - ERROR - Unsupported lookup 'not_in' for AutoField or join on the field not permitted.
2024-01-31 12:14:59,418 - conciliaciones.views - ERROR - Unsupported lookup 'not_in' for AutoField or join on the field not permitted.
2024-01-31 12:16:01,062 - conciliaciones.views - ERROR - Unsupported lookup 'not_in' for AutoField or join on the field not permitted.
2024-01-31 12:16:59,192 - conciliaciones.views - ERROR - Unsupported lookup 'not_in' for AutoField or join on the field not permitted.
2024-01-31 12:17:48,112 - conciliaciones.views - ERROR - Unsupported lookup 'not_in' for AutoField or join on the field not permitted.
2024-01-31 12:18:23,072 - conciliaciones.views - ERROR - Unsupported lookup 'not_in' for AutoField or join on the field not permitted.
2024-01-31 13:03:12,356 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,357 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,357 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,358 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,358 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,359 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,359 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,360 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,360 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,361 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,361 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,361 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,362 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,362 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,363 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,363 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,364 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,364 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,365 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,365 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,366 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,366 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,366 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,367 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,367 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,368 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,368 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,369 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,369 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,370 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,370 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,371 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,371 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,372 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,372 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,373 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,373 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,374 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,374 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,374 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,375 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,375 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,376 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,376 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,377 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,377 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,378 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,378 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,379 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,379 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,379 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,380 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,380 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,381 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,381 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,382 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,382 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,383 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,383 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,384 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,384 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
2024-01-31 13:03:12,385 - conciliaciones.views - ERROR - Cannot resolve keyword 'created_at' into field. Choices are: date_created, extractos, id, is_deleted, mayores, name, periodo
